x,y,z
0.903318, -0.671782, -1.06261
0.904936, -0.672331, -1.06192
0.906544, -0.672869, -1.06122
0.908142, -0.673398, -1.06052
0.90973, -0.673918, -1.0598
0.911308, -0.674427, -1.05909
0.912876, -0.674926, -1.05836
0.914434, -0.675416, -1.05763
0.915982, -0.675895, -1.05689
0.91752, -0.676365, -1.05614
0.919047, -0.676825, -1.05539
0.920565, -0.677276, -1.05463
0.922073, -0.677716, -1.05386
0.92357, -0.678147, -1.05309
0.925057, -0.678569, -1.05231
0.926534, -0.67898, -1.05152
0.928001, -0.679382, -1.05073
0.929458, -0.679774, -1.04993
0.930905, -0.680157, -1.04912
0.932342, -0.680529, -1.04831
0.933768, -0.680893, -1.04749
0.935185, -0.681246, -1.04667
0.936591, -0.681591, -1.04584
0.937987, -0.681925, -1.045
0.939372, -0.68225, -1.04415
0.940748, -0.682566, -1.0433
0.942113, -0.682871, -1.04245
0.943468, -0.683168, -1.04159
0.944813, -0.683455, -1.04072
0.946147, -0.683732, -1.03984
0.947472, -0.684, -1.03896
0.948786, -0.684259, -1.03808
0.95009, -0.684508, -1.03718
0.951383, -0.684747, -1.03628
0.952666, -0.684978, -1.03538
0.953939, -0.685198, -1.03447
0.955202, -0.68541, -1.03355
0.956454, -0.685612, -1.03263
0.957696, -0.685804, -1.03171
0.958928, -0.685988, -1.03077
0.960149, -0.686162, -1.02984
0.96136, -0.686326, -1.02889
0.96256, -0.686481, -1.02794
0.96375, -0.686627, -1.02699
0.96493, -0.686764, -1.02603
0.966099, -0.686891, -1.02506
0.967258, -0.687009, -1.02409
0.968407, -0.687118, -1.02311
0.969545, -0.687217, -1.02213
0.970672, -0.687308, -1.02114
0.971789, -0.687389, -1.02015
0.972896, -0.68746, -1.01915
0.973992, -0.687523, -1.01815
0.975078, -0.687576, -1.01714
0.976153, -0.68762, -1.01613
0.977218, -0.687655, -1.01511
0.978272, -0.68768, -1.01409
0.979315, -0.687697, -1.01306
0.980348, -0.687704, -1.01203
0.981371, -0.687702, -1.01099
0.982383, -0.687691, -1.00995
0.983384, -0.687671, -1.0089
0.984374, -0.687641, -1.00785
0.985354, -0.687602, -1.00679
0.986324, -0.687554, -1.00573
0.987283, -0.687498, -1.00467
0.988231, -0.687431, -1.0036
0.989168, -0.687356, -1.00252
0.990095, -0.687272, -1.00144
0.991011, -0.687178, -1.00036
0.991916, -0.687076, -0.999267
0.992811, -0.686964, -0.998173
0.993695, -0.686843, -0.997075
0.994568, -0.686713, -0.995973
0.99543, -0.686574, -0.994866
0.996282, -0.686426, -0.993755
0.997122, -0.686268, -0.99264
0.997952, -0.686102, -0.991521
0.998772, -0.685926, -0.990397
0.99958, -0.685742, -0.989269
1.00038, -0.685548, -0.988137
1.00116, -0.685345, -0.987001
1.00194, -0.685134, -0.985861
1.0027, -0.684913, -0.984717
1.00346, -0.684683, -0.983569
1.0042, -0.684444, -0.982417
1.00493, -0.684195, -0.981261
1.00565, -0.683938, -0.980101
1.00636, -0.683672, -0.978937
1.00706, -0.683397, -0.97777
1.00775, -0.683112, -0.976598
1.00843, -0.682819, -0.975423
1.00909, -0.682516, -0.974245
1.00975, -0.682205, -0.973062
1.01039, -0.681884, -0.971876
1.01103, -0.681554, -0.970687
